TotalLength	Age	Maturity
30	2	0
30	2	0
31	2	0
32	2	0
31	2	0
32	2	0
33	2	0
38	2	0
39	3	0
39	3	0
42	3	0
47	3	0
45	3	0
46	3	0
49	3	0
50	5	0
50	3	0
56	5	0
67	12	0
17	1	0
20	1	0
19	1	0
20	1	0
21	1	0
20	1	0
21	1	0
21	1	0
20	1	0
22	1	0
21	1	0
23	1	0
24	2	0
22	2	0
25	2	0
25	2	0
24	2	0
25	2	0
25	2	0
25	2	0
27	2	0
27	2	0
27	2	0
26	2	0
27	2	0
27	2	0
28	2	0
28	2	0
27	2	0
28	2	0
28	2	0
28	2	0
28	2	0
28	2	0
28	2	0
29	2	0
29	2	0
29	2	0
27	2	0
29	2	0
28	2	0
30	2	0
30	2	0
29	2	0
28	2	0
30	2	0
26	2	0
27	2	0
29	2	0
29	2	0
29	3	0
30	2	0
30	2	0
29	2	0
29	2	0
30	2	0
31	2	0
31	2	0
28	2	0
31	2	0
29	2	0
31	2	0
31	2	0
32	2	0
31	3	0
31	2	0
31	2	0
31	2	0
33	2	0
31	2	0
30	2	0
32	2	0
32	2	0
32	2	0
32	2	0
31	2	0
31	2	0
33	2	0
33	2	0
32	2	0
34	2	0
32	2	0
33	2	0
32	2	0
31	2	0
33	2	0
33	2	0
33	2	0
34	2	0
34	2	0
32	2	0
34	2	0
34	2	0
36	2	0
35	2	0
35	2	0
34	2	0
35	2	0
36	2	0
35	2	0
36	2	0
36	2	0
36	2	0
37	2	0
36	2	0
41	3	0
41	3	0
42	3	0
38	5	0
55	5	0
28	2	1
31	2	1
30	2	1
32	2	1
35	2	1
35	2	1
38	3	1
36	3	1
39	2	1
38	3	1
38	3	1
40	3	1
38	3	1
41	3	1
43	3	1
41	3	1
43	3	1
43	3	1
42	3	1
44	4	1
43	3	1
44	3	1
44	3	1
42	3	1
43	3	1
42	3	1
42	4	1
45	3	1
45	4	1
45	3	1
47	3	1
43	3	1
44	3	1
46	3	1
44	3	1
50	4	1
51	5	1
48	4	1
50	5	1
52	5	1
55	5	1
51	4	1
53	5	1
56	11	1
56	5	1
59	5	1
60	6	1
57	5	1
65	12	1
58	5	1
61	5	1
67	9	1
33	2	1
38	3	1
40	3	1
39	3	1
42	3	1
42	3	1
44	3	1
45	3	1
45	5	1
45	5	1
47	5	1
46	3	1
47	5	1
48	5	1
48	5	1
50	5	1
50	5	1
51	5	1
54	5	1
41	3	1
51	3	1
25	2	NA
27	2	NA
28	2	NA
27	2	NA
28	2	NA
29	2	NA
32	2	NA
31	2	NA
31	2	NA
32	2	NA
32	2	NA
33	2	NA
33	2	NA
34	2	NA
33	2	NA
34	2	NA
33	2	NA
33	2	NA
35	2	NA
35	2	NA
36	2	NA
36	2	NA
35	2	NA
35	2	NA
34	2	NA
34	2	NA
34	2	NA
36	2	NA
38	3	NA
35	3	NA
37	2	NA
35	2	NA
37	2	NA
38	2	NA
36	2	NA
37	3	NA
38	3	NA
39	4	NA
37	2	NA
37	4	NA
38	2	NA
40	4	NA
40	5	NA
41	4	NA
39	5	NA
39	4	NA
38	3	NA
39	3	NA
44	5	NA
41	2	NA
41	3	NA
40	4	NA
41	3	NA
40	4	NA
41	3	NA
39	3	NA
42	3	NA
40	2	NA
42	3	NA
41	4	NA
42	3	NA
43	4	NA
41	3	NA
43	3	NA
42	3	NA
42	3	NA
44	3	NA
42	3	NA
44	3	NA
43	3	NA
42	3	NA
42	4	NA
44	5	NA
44	5	NA
44	3	NA
41	2	NA
45	4	NA
45	5	NA
43	3	NA
46	5	NA
42	5	NA
41	3	NA
46	5	NA
44	5	NA
44	4	NA
41	5	NA
43	3	NA
45	3	NA
45	5	NA
45	5	NA
44	3	NA
43	4	NA
46	5	NA
42	3	NA
46	3	NA
43	4	NA
47	5	NA
45	5	NA
45	4	NA
45	5	NA
44	5	NA
46	3	NA
43	5	NA
47	5	NA
46	5	NA
48	5	NA
49	3	NA
48	5	NA
47	5	NA
48	5	NA
47	5	NA
49	5	NA
47	3	NA
47	5	NA
49	6	NA
48	5	NA
53	5	NA
48	3	NA
48	5	NA
49	3	NA
50	4	NA
50	5	NA
53	5	NA
49	5	NA
48	5	NA
49	5	NA
49	5	NA
53	5	NA
50	5	NA
51	5	NA
50	5	NA
52	5	NA
52	6	NA
53	5	NA
52	7	NA
50	6	NA
52	5	NA
51	5	NA
54	5	NA
52	6	NA
53	5	NA
58	5	NA
55	5	NA
53	5	NA
55	5	NA
55	5	NA
57	5	NA
57	6	NA
56	6	NA
56	5	NA
56	5	NA
55	5	NA
55	5	NA
58	6	NA
58	6	NA
57	5	NA
58	5	NA
62	5	NA
60	9	NA
