LAKE	ID	TL	GONADS	AGE
BRULE	542	700	1	35
BRULE	543	175	0	3
BRULE	544	226	0	4
BRULE	545	267	0	5
BRULE	547	274	0	5
BRULE	552	451	0	14
BRULE	553	478	0	11
BRULE	554	440	0	12
BRULE	556	531	0	11
BRULE	559	395	0	10
BRULE	564	555	0	12
BRULE	566	395	0	9
BRULE	568	620	0	19
BRULE	572	496	0	14
BRULE	573	538	0	16
BRULE	575	224	0	5
BRULE	577	477	0	12
BRULE	580	268	0	5
BRULE	581	218	0	5
BRULE	583	570	0	14
BRULE	584	549	0	13
BRULE	585	465	0	11
BRULE	591	526	1	9
BRULE	597	154	0	3
BRULE	600	552	1	11
BRULE	605	601	0	42
BRULE	610	523	1	10
BRULE	611	159	0	3
BRULE	616	324	0	9
REDDOG	155	570	1	15
REDDOG	156	628	1	16
REDDOG	157	573	1	15
REDDOG	159	95	0	1
REDDOG	160	181	0	3
REDDOG	161	446	0	9
REDDOG	162	615	1	32
REDDOG	168	542	1	17
REDDOG	173	585	1	20
REDDOG	178	557	0	11
REDDOG	179	616	0	21
REDDOG	181	405	0	8
REDDOG	182	445	0	9
REDDOG	185	383	0	7
REDDOG	186	592	1	17
REDDOG	187	592	1	25
REDDOG	190	597	0	13
REDDOG	191	366	0	6
REDDOG	194	593	1	21
REDDOG	203	190	0	3
REDDOG	209	221	0	5
REDDOG	212	540	0	11
REDDOG	214	417	0	5
REDDOG	219	365	0	6
REDDOG	220	600	0	15
REDDOG	221	644	1	23
REDDOG	223	581	1	10
REDDOG	225	638	0	17
REDDOG	227	585	0	14
REDDOG	232	195	0	3
REDDOG	234	147	0	2
REDDOG	235	188	0	3
REDDOG	236	202	0	3
REDDOG	238	133	0	2
REDDOG	240	708	1	26
REDDOG	241	634	1	29
REDDOG	272	640	1	50
REDDOG	274	632	0	30
REDDOG	275	650	1	20
REDDOG	276	583	0	10
REDDOG	277	608	1	25
REDDOG	280	654	0	13
REDDOG	281	515	0	10
REDDOG	285	515	0	9
REDDOG	286	704	0	23
REDDOG	320	492	0	11
REDDOG	323	592	0	13
REDDOG	325	495	0	9
REDDOG	328	476	0	9
REDDOG	329	217	0	3
REDDOG	378	594	1	23
REDDOG	382	524	0	10
REDDOG	385	662	1	40
REDDOG	386	550	0	12
REDDOG	388	624	0	22
REDDOG	389	430	0	7
REDDOG	392	672	0	28
REDDOG	397	695	1	36
REDDOG	398	466	0	8
REDDOG	399	584	1	24
REDDOG	400	555	0	13
REDDOG	402	399	0	7
VOLTZ	403	511	0	13
VOLTZ	405	661	1	16
VOLTZ	406	558	0	12
VOLTZ	408	493	0	9
VOLTZ	409	545	0	10
VOLTZ	411	576	1	29
VOLTZ	415	485	0	10
VOLTZ	416	403	0	7
VOLTZ	418	536	1	19
VOLTZ	419	494	0	9
VOLTZ	420	419	0	7
VOLTZ	423	490	1	10
VOLTZ	424	223	0	3
VOLTZ	428	621	1	9
VOLTZ	432	634	1	23
VOLTZ	433	615	1	13
VOLTZ	434	541	1	27
VOLTZ	436	133	0	2
VOLTZ	438	643	1	25
VOLTZ	439	796	1	36
VOLTZ	440	722	0	34
VOLTZ	441	647	1	23
VOLTZ	442	560	1	29
VOLTZ	445	638	0	17
VOLTZ	446	591	1	23
VOLTZ	454	550	0	17
VOLTZ	455	521	0	7
VOLTZ	463	599	0	28
VOLTZ	464	550	0	9
VOLTZ	466	195	0	3
VOLTZ	468	508	1	12
VOLTZ	471	539	0	9
VOLTZ	472	157	0	2
VOLTZ	473	538	1	11
VOLTZ	476	140	0	2
VOLTZ	477	133	0	2
VOLTZ	480	591	0	12
VOLTZ	483	544	1	11
VOLTZ	487	636	1	33
VOLTZ	489	717	1	24
VOLTZ	497	545	0	10
VOLTZ	498	537	0	10
VOLTZ	502	542	1	11
VOLTZ	503	580	0	10
VOLTZ	504	511	0	9
VOLTZ	505	662	0	34
VOLTZ	508	556	1	10
VOLTZ	509	608	0	12
VOLTZ	510	550	1	12
VOLTZ	511	616	0	17
VOLTZ	512	565	0	34
VOLTZ	513	688	1	26
VOLTZ	515	715	1	13
VOLTZ	516	561	1	12
VOLTZ	518	462	0	7
VOLTZ	519	482	0	7
VOLTZ	520	641	0	42
VOLTZ	521	535	1	10
VOLTZ	522	542	0	9
VOLTZ	523	490	1	11
VOLTZ	528	428	0	7
VOLTZ	529	565	0	21
